id,english,tunisian
10159624,I fell behind a little.,تلهيت شوية.
10159625,She forgot me.,نساتني.
10159626,They forgot me.,نسّاوني.
10159628,Tom forgot to pick me up from school.,توم نسى باش يجي ياخذني من المدرسة.
10159629,The video is grainy.,الفيديو مش واضح.
10159630,I think it's broken.,نظنها كسرت.
10159631,There's some paint in the garage.,فمّا شوية صباغة في الكراج.
10159633,I keep my tools in the garage.,نخلي في عدّتي في الكراج.
10159637,It's in the attic.,راهو في السطح.
10159638,Take it apart.,فكّها.
10159640,Put it back together.,رجّعها كيف كانت.
10159641,The wheel came off.,العجلة طاحت.
10159643,It's unstable.,موش مستقر.
10159644,Fasten it.,شُدّها.
10159665,Tom went to Australia after that.,توم مشى لأستراليا بعد ذلك.
10159670,A car hit Tom in the crosswalk.,كراهب ضربت توم في الممر متاع المشاة.
10159671,The monitor stopped working.,الشاشة بطلت تخدم.
10159673,Tom is eating soup.,توم ياكل في الشربة.
10159678,That happened to a friend of mine.,هاذا صار لصاحبي.
10159679,"I loved him, I think.",نحبّو، نظنّ.
10159682,Some things just don't make any sense.,فمّا حاجات ما عندها حتى معنى.
10159692,That was over a decade ago.,هذا كان من أكثر من عشر سنين.
10159700,Tom hoofed the ball up the pitch.,توم شات الكورة للفوق في الملعب.
10159702,He playfully ruffled her hair.,هو لعبكشها في شعرها.
10159703,She playfully ruffled his hair.,هي لعبتلو في شعره.
10159709,Tom did a lot of work for us.,توم خدم برشة علينا.
10159711,I didn't see Tom again after that.,ما شفتش توم مرة أخرى بعد ذلك.
10159756,They didn't forget me.,ما نسونيش.
10159758,She didn't forget me.,هي ما نسيتنيش.
10159759,He didn't forget me.,ما نسانيش.
10159760,Open the bonnet.,حل الكابو.
10159761,They didn't forget us.,ما نسّاوناش.
10159762,She didn't forget us.,هي ما نسيتناش.
10159763,He didn't forget us.,ما نساش بينا.
10159770,All sorts of books lay on the table.,كل أنواع الكتب مرميين على الطاولة.
10159771,All kinds of books lay on the table.,كل أنواع الكتب محطوطين على الطاولة.
10159772,Books of all kinds lay on the table.,الكتب من كل نوع مرميين على الطاولة.
10159790,Tom didn't know what happened.,توم ما كانش يعرف شنو صار.
10159798,Which direction shall we keep going in?,في أي اتجاه باش نكملو نمشيو؟
10159799,Which direction should we keep going in?,في أي اتجاه لازمو نكملو؟
10159800,He played in the band.,لعب في الفرقة.
10159801,He played in that band.,لعب في الفرقة هذيك.
10159802,He was in the band.,كان في الفرقة.
10159803,He was in that band.,كان في الفرقة هذيك.
10159804,A year is such a long time.,عام راهو وقت طويل برشة.
10159805,Give me a shout as soon as you're ready.,كي تكون حاضر صيحلي.
10159806,Ring as soon as you're ready.,كي تكون حاضر كلمني.
10159807,Phone as soon as you're ready.,كي تكون حاضر كلمني.
10159808,"As soon as you're ready, ring.",كي تكون حاضر، دق.
10159809,"As soon as you're ready, phone.",كي تكون حاضر، تليفوني.
10159810,You shouldn't have to pretend to a friend.,ما لازمش تمثل قدام صاحبك.
10159812,There are questions to which no one has answers.,فمّا أسئلة ما عند حتى حدّ إجابات ليها.
10159813,There are questions to which no one has an answer.,فمّا أسئلة ما عند حتى حدّ جواب ليها.
10159814,There are questions which no one can answer.,فمّا أسئلة ما ينجم حد يجاوب عليها.
10159815,There are questions to which no one knows an answer.,فمّا أسئلة ما حدّ يعرفلها جواب.
10159816,Tom advanced slowly.,توم تقدّم بشويّة.
10159817,Tom slowly advanced.,توم تقدّم بشويّة بشويّة.
10159818,Tom checked to see whether Mary's name was on the list.,توم شاف إذا كان اسم ماري موجود في القائمة.
10159819,Tom checked to see if Mary's name was on the list.,توم شاف إذا كان اسم ماري موجود في الليستة.
10159825,There are questions no one can answer.,فمّا أسئلة ما ينجم حد يجاوب عليها.
10159837,Tom dreams his days away.,توم يقضي نهارو في الأحلام.
10159838,His shoes are worn out.,صبّاطو متهرّي.
10159850,What will we do tomorrow if we finish this today?,شنوة باش نعملو غدوة كان نكملو هاذا اليوم؟
10159851,This toothbrush is too soft.,هذيا الفرشاة متاع السنان طرية برشة.
10159859,I took Tom down a peg.,هبطت لتوم من قيمتو.
10159900,The first thing that we need to do is build a fire.,أول حاجة لازم نعملوها هي نشعلو نار.
10159916,Am I normal?,أنا عادي؟
10159952,That's the only way that we'll be able to survive.,هذيكة الطريقة الوحيدة باش ننجمو نعيشو.
10159964,That's something that we tried to avoid.,هذا حاجة حاولنا نتفادوها.
10159966,I hope that we can avoid making the same stupid mistakes we made last time.,نرجو إنو نجموا نتفاداو نعملوا نفس الغلطات الغبية اللي عملناهم المرة اللي فاتت.
10159968,Tom said that Mary felt sick.,توم قال اللي ماري حسّت بروحها مريضة.
10159969,I just found out Tom is sick.,توّا برك عرفت اللي توم مريض.
10159973,We're lucky we were able to avoid doing that.,حظنا باهي اللي قدرنا نتفاداو نعملو هكا.
10159974,That's something that we want to avoid.,هذي حاجة نحبّو نتفاداوها.
10159977,There's no evidence that ever happened.,ما فمّا حتى دليل اللي صار هكا.
10159978,I forgot today was Tom's birthday.,نسيت اللي اليوم عيد ميلاد توم.
10159979,What's the best gift that you've ever been given?,شنوة أحسن هدية عطاوها لك؟
10160007,Even a criminal has the right to liberty.,حتى المجرم عندو الحق في الحرية.
10160017,What's the funniest thing that you've ever done?,شنوة أكثر حاجة مضحكة عملتها في حياتك؟
10160018,Someone forced the door open.,حد فتح الباب بالقوة.
10160019,It's a good thing Tom left the door open.,حاجة باهية اللي توم خلّى الباب محلول.
10160020,"Tom told me the door was open, but it wasn't.",توم قالي الباب محلول، أما ما كانش.
10160021,Tom denied he was the one who'd left the door open.,توم أنكر إنه هو اللي خلّى الباب محلول.
10160026,What we all have in common is that we love soccer.,الحاجة اللي تجمعنا الكل هي إننا نحبوا الكورة.
10160028,Tom was robbed in Australia.,توم تسرق في أستراليا.
10160030,Nobody will likely even notice.,ما ثماش حد باش يلاحظ.
10160049,Ratings are dropping.,التقييمات قاعدة تهبط.
10160050,Ratings are falling.,التقييمات قاعدة تهبط.
10160053,There is no need to be callous.,ما فماش داعي تكون قاسي.
10160055,I hate voice messages.,نكره المساجات الصوتية.
10160056,"If you're so callous, I'll destroy your life.",إذا كنت قاسي هكا، باش ندمرك حياتك.
10160057,What kind of school does Tom go to?,شنوة نوع المدرسة اللي يمشي لها توم؟
10160058,Please leave the door open on your way out.,بالله خلّي الباب محلول كي تخرج.
10160059,My fingers are starting to callus over. I love it for some reason.,صبعي بدات تتقشر. نحبها لسبب ما.
10160060,How could you be so callous?,كيفاش تنجم تكون قاسي هكا؟
10160063,There is no need to be callous about deforestation.,ما فماش داعي باش تكون قاسي على قطع الغابات.
10160065,This is the most callous thing I have ever heard.,هاذي أقسى حاجة سمعتها في حياتي.
10160066,You're the chosen one.,إنت المختار.
10160069,I was shocked by their callous attitude towards the rape issue.,تصدمت من طريقتهم الباردة في التعامل مع موضوع الاغتصاب.
10160070,Skip the ad.,تعدى الإشهار.
10160071,Paste the link.,لسق الرابط.
10160077,Insert the disc.,حط الديسك.
10160079,You're hard to fool.,صعيب باش نغشّك.
10160080,You're too arrogant.,إنت مغرور برشة.
10160084,The house looked abandoned.,الدار تبان مهجورة.
10160085,The building looked abandoned.,البناية كانت باينة مهجورة.
10160086,The mansion looked abandoned.,الدار الكبيرة كانت باينة مهجورة.
10160092,Did he know him?,كان يعرفو؟
10160099,Everyone is afraid of you.,الكل خايف منك.
10160116,Tom wrote about Australia.,توم كتب على أستراليا.
10160119,My brother is a Christian.,خويا مسيحي.
10160120,Her husband is a Christian.,راجلها مسيحي.
10160121,His son is a Christian.,ولدو مسيحي.
10160122,Her son is a Christian.,ولدها مسيحي.
10160123,A true Christian is pure in heart.,المسيحي الحقيقي قلبو صافي.
10160124,Tom went ballistic when Mary told him she wanted a divorce.,توم طار عقله كي ماري قالتله إنها تحب تتطلق.
10160125,Why aren't you a Christian?,علاش إنت ماكش مسيحي؟
10160126,I would like to become a Christian.,نحب نولي مسيحي.
10160129,The Bible is widely known throughout the world.,الإنجيل معروف برشة في العالم الكل.
10160133,"The text of the Bible was written by about 40 different people over a period of approximately 1,600 years.",تم كتابة نص الكتاب المقدس من قبل حوالي 40 شخص مختلف على مدى فترة تقارب 1600 سنة.
10160146,It went down the wrong pipe.,غلطت في السكة.
10160148,Her dress didn't suit her at all.,الفستان متاعها ما جاش معاها بالكل.
10160152,This isn't what should have been manufactured.,هاذا موش اللي كان لازم يتصنع.
10160155,Don't worry; I'm sure that will suit you.,ما تقلقش، متأكد باش يعجبك.
10160163,Bring a bucket or chair to sit on.,جيب سطل ولا كرسي باش تقعد عليه.
10160164,"Tom went into one of the rooms, and Mary went into the other.",توم دخل لواحد من الغرف، وماري دخلت للغرفة الأخرى.
10160165,He has no sense.,ما عندوش حس.
10160186,I was able to hit the ball.,نجمّت نضرب الكورة.
10160187,He can't let me down; I know he's worthless.,ما ينجمش يخيبني؛ نعرفو ما يسواش.
10160227,Tom is waiting for someone else to do it for him.,توم يستنى في حد آخر باش يعملها بدالو.
10160232,Tom is hoping Mary can help him.,توم يستنى ماري تعاونُه.
10160255,"Look, there is a nest of pigeons in this tree.",شوف، فمّا عش حمام في الشجرة هاذي.
10160264,You have to find something you enjoy doing.,يلزمك تلقى حاجة تحب تعملها.
10160267,Tom couldn't see what Mary was doing.,توم ما كانش ينجم يشوف شنوّة تعمل ماري.
10160297,A wasp stung him and he had an allergic reaction.,دبّوزة قرصتو وصارتلو حساسية.
10160331,"If I sow this pebble, will a mountain grow?",إذا نزرع هالحجرة، باش يطلع جبل؟
10160340,Tom didn't have a clue what was going on.,توم ما كانش عندو فكرة شنو قاعد يصير.
10160348,I do need a vacation.,نحتاج برشا لعطلة.
10160377,I'll take the cheapest ones.,باش ناخذ الأرخص.
10160379,Don't take the cheapest one.,ما تاخذش الأرخص.
10160380,Don't take the cheapest ones.,ما تاخذش الأرخص.
10160410,Tom is the person who hit me.,توم هو الشخص اللي ضربني.
10160412,Tom tried not to hurt anyone's feelings.,توم حاول ما يجرحش مشاعر حد.
10160414,Cookie is sleeping on my stomach.,كوكي راقدة على كرشي.
10160418,That story turned out to be a hoax.,طلعت الحكاية كذبة.
10160464,"I really want to go with you, but I can't.",نحب برشا نمشي معاك، أما ما نجمش.
10160468,Tom shot back at the men who were shooting at him.,توم ردّ على الرجال اللي كانوا يضربوا عليه.
10160510,We just have to sit tight and hope.,ما علينا كان نصبروا ونستناو.
10160533,Tom told Mary to stay calm.,توم قال لماري باش تبقى هانية.
10160534,Tom didn't realize that he'd been swindled.,توم ما فاقش اللي تحيلوا عليه.
10160539,She's a goddess.,هي آلهة.
10160595,I want you to understand my point of view.,نحبك تفهم وجهة نظري.
10160600,Tom didn't notice Mary was looking at him.,توم ما لاحظش ماري كانت تشوف فيه.
10160635,Tom cannot help you even if he wanted to.,توم ما ينجمش يعاونك حتى كان يحب.
10160642,Tom sang well.,توم غنى مليح.
10160643,Could you send me some pictures?,تنجم تبعثلي شوية تصاور؟
10160650,The nearest town is quite far away.,المدينة الأقرب بعيدة شوية.
10160679,He doesn't want to obey her.,ما يحبش يطيعها.
10160680,He doesn't want to obey him.,ما يحبش يطيعه.
10160682,He lent it to me.,سلفهولي.
10160684,"""Where did you put my book?"" ""It's on the end table.""",&#34;وين حطيت كتابي؟&#34; &#34;راه على الطاولة الصغيرة.&#34;
10160703,"Tom met a woman in Australia, got married, and settled down.",توم قابل مرا في أستراليا، تزوّج و استقرّ.
10160709,I wonder why he doesn't want to answer my question.,نتعجب علاش ما يحبش يجاوبني على سؤالي.
10160715,Tom was kind of chubby in the third grade.,توم كان شوية مدبدب في السنة الثالثة.
10160745,I wish I could go there right now.,نتمنى نجم نمشي لهوني توة.
10160747,Tom took his coat off and started working.,توم نزع كبوطو وبدأ يخدم.
10160779,Tom got back to Australia last week.,توم رجع لأستراليا السيمانة اللي فاتت.
10160780,Would you mind not sitting there?,تنجم ما تقعدش غادي؟
10160805,Tom covered himself with a wet blanket and ran into the burning building to save his dog.,توم غطى روحو ببطانية مبلولة وجرى للدار اللي تحرق باش ينقذ كلبو.
10160808,Tom just quit.,توم توّا استقال.
10160809,I want to take pictures.,نحب ناخذ تصاور.
10160814,I like the way you look at things.,نحب كيفاش تشوف للحاجات.
10160816,I love the look in your eyes.,نحب النظرة في عينيك.
10160830,I like damson plums.,نحبّ البخارة.
10160831,I like damsons.,نحبّ البوصاع.
10160833,I like greengages.,نحبّ البخارة.
10160835,I like greengage plums.,نحبّ البخارة.
10160838,I like green plums.,نحب الزعرور الأخضر.
10160839,You'll get used to the bumper-to-bumper traffic of this city.,باش تتعود على الزحمة اللي سيارة ورا سيارة في هالمدينة.
10160842,"We also had problems in the past, but this time it's of a different order of magnitude.",احنا زادة كان عندنا مشاكل في الماضي، أما المرة هاذي المشكلة أكبر برشة.
10160871,"I'm busy now, so I can't help you.",أنا مشغول تاو، ما نجمش نعاونك.
10160872,Tom did something wrong this time.,توم عمل حاجة غالطة المرة هاذي.
10160927,No one comforted me when I was sad.,ما حد عزّاني كي كنت حزين.
10160928,No one consoled me when I was sad.,ما حد عزّاني كي كنت حزين.
10160942,Tom was stuck.,توم كان محصور.
10160948,Send me some pictures.,بعثلي شوية تصاور.
10160954,Tom was so busy at work today that he couldn't even take a piss break.,توم كان مشغول برشة في الخدمة اليوم لدرجة ما لقا حتى وقت باش يمشي للمرحاض.
10161004,"Tom got here just before lunch, and Mary got here a couple of hours after that.",توم وصل لهنا قبل الغداء بشوية، وماري وصلت لهنا بعد ساعتين تقريبًا.
10161005,The little flower is blue.,الزهرة الصغيرة زرقاء.
10161006,The little flower is purple.,الزهرة الصغيرة بنفسجية.
10161007,The little flower is black.,الزهرة الصغيرة سودة.
10161013,She sings incredibly well.,تغني بالباهي برشة.
10161015,The little flower is red.,الزهرة الصغيرة حمراء.
10161253,You're such a mama's boy.,ياخي إنت ولد أمك برشة.
10161260,She's a queen.,هي ملكة.
10161268,He's a queen.,هو ملكة.
10161296,What time is sundown?,قدّاش توقيت الغروب؟
10161297,I didn't know you were gay.,ما كنتش نعرف اللي انت مثلي.
10161302,Tom got tipsy.,توم سكر شوية.
10161305,Tom didn't even want to drive Mary home.,توم حتى ما حبش يوصل ماري للدار.
10161363,Is the answer to this question 'no?',هل الجواب على هالسؤال &#39;لا؟&#39;
10161368,He was so tired that he couldn't sleep.,كان تعب برشة لدرجة ما نجمش يرقد.
10161369,I was so tired that I couldn't sleep.,كنت تعب برشة لدرجة ما نجمش نرقد.
10161371,Please send me some pictures.,ابعتلي شوية تصاور.
10161373,She was so tired that she couldn't sleep.,كانت تعبة برشة لدرجة ما نجمتش ترقد.
10161374,Tom went to the door.,توم مشى للباب.
10161378,Tom plans to ask Mary to marry him.,توم يخطط باش يطلب من ماري باش تتزوجه.
10161380,The offer will be valid for thirty days.,العرض باش يكون صالح لمدة ثلاثين يوم.
10161382,Tom buried it.,توم دفنها.
10161383,Tom went for a walk after dinner.,توم مشى يتمشى بعد العشاء.
10161387,I didn't spend a lot.,ما صرفتش برشة.
10161388,I washed my car.,غسلت الكرهبة متاعي.
10161389,That isn't Tom. It's his brother.,هذا موش توم. هذا خوّه.
10161390,Tom told Mary to run away.,توم قال لماري تهرب.
10161393,There isn't any evidence that ever happened.,ما فمّا حتى دليل اللي صار هكا.
10161411,I'm looking it up right now.,قاعد نبحث فيه تاو.
10161412,You're not cool.,إنت ماكش كول.
10161413,That was oddly specific.,هاذي كانت حاجة محددة بطريقة غريبة.
10161415,Here's a crazy idea.,هاو فكرة مجنونة.
10161416,Self-advertising is the only way your videos will ever be popular.,الإشهار الذاتي هو الطريقة الوحيدة باش الفيديوهات متاعك تولي مشهورة.
10161417,Will you be my girlfriend?,تحب تكوني صاحبتي؟
10161418,All mammals and birds have warm blood.,كل الثدييات والطيور عندهم دم سخون.
10161422,Somebody's parked their car in my parking space.,حد حاطط كرهبتو في بلاصة الباركينغ متاعي.
10161423,The cat is sitting on the container.,القطوسة قاعدة فوق الكونتينر.
10161425,You have to find something that you enjoy doing.,يلزمك تلقى حاجة تحب تعملها.
10161426,That was the only thing that they asked us to do.,هذيكا الحاجة الوحيدة اللي طلبوها منا نعملوها.
10161428,Tom's dog is always with Tom.,كلب توم ديما مع توم.
10161456,Has anyone ever said that you wear too much makeup?,عمرك حد قالك إنك تحط برشا مكياج؟
