id,english,status
10159811,War broke out.,no_translation
10160990,A bird sings.,no_translation
10161002,Tom never wears the shirt that Mary made for him.,no_translation
10161095,Why did you stop taking your medicine?,no_translation
10161104,Tom advised me to hire a lawyer.,no_translation
10161249,Tom went whale watching.,no_translation
10161384,I'll make coffee.,no_translation
10161386,I didn't spend very much.,no_translation
10161394,Tom didn't speak French until he was thirteen years old.,no_translation
10161396,"Tom was injured, but not too seriously.",no_translation
10161402,Tom doesn't like to talk about his love life.,no_translation
10161403,I wish I could go to the concert with you.,no_translation
10161408,Tom said that he had proof.,no_translation
10161410,Tom was dead-set against it.,no_translation
10161419,Somebody forced the door open.,no_translation
10161420,You're my friend. I would never go out with you.,no_translation
10161421,Somebody forced open the door.,no_translation
10161429,What's the scariest movie that you've ever seen?,no_translation
10161432,The news said that Tom Jackson died of a heart attack.,no_translation
10161434,Tom was one of the three people who died in the attack.,no_translation
10161438,I love your demure smile.,no_translation
10161444,I thought maybe Tom had a heart attack.,no_translation
10161448,Our snowman is gay.,no_translation
10161474,They think that maybe Tom had a heart attack.,no_translation
10161475,I suspect Tom has been drinking on the job.,no_translation
10161483,Tom didn't have enough money to buy food for everybody.,no_translation
10161512,That's unsanitary.,no_translation
10161522,Tom's dog follows Tom wherever he goes.,no_translation
10161524,Don't be a mama's boy.,no_translation
10161526,It's hidden.,no_translation
10161536,Something leaked in the bag.,no_translation
10161537,The product was damaged.,no_translation
10161538,I tried to fix it.,no_translation
10161547,How long did Tom and Mary date before they got married?,no_translation
10161553,Tom's drunken rant included a number of racial epithets.,no_translation
10161554,Tom was fired for using a racial epithet at work.,no_translation
10161555,Tom said that he'd eaten.,no_translation
10161572,Tom never read the book I recommended to him.,no_translation
10161573,Tom never read the book that I told him he should read.,no_translation
10161574,"By the time Tom gets here, I'll already be gone.",no_translation
10161586,Tom knew what would've happened if he hadn't done that.,no_translation
10161587,Tom said that he had some things that he needed to get off his chest.,no_translation
10161588,I didn't recognize Tom because he'd put on a lot of weight.,no_translation
10161589,"Since Tom has started rollerblading, he's lost three kilos.",no_translation
10161590,"I don't know whether Tom is married or not. To tell the truth, I don't really care.",no_translation
10161606,I admired his generosity.,no_translation
10161609,Your generosity knows no bounds.,no_translation
10161627,It'll take me all day to finish this.,no_translation
10161628,It'll take me all day to do that.,no_translation
10161630,I need French lessons.,no_translation
10161631,I need to find a French teacher.,no_translation
10161632,Can you recommend a French teacher?,no_translation
10161658,Close the door and sit down.,no_translation
10161716,Tom did a foolish thing.,no_translation
10161732,You bought a very small funnel.,no_translation
10161776,A double-decker bus overtook us.,no_translation
10161779,All the houses there have two stories.,no_translation
10161780,Tom's bumper was damaged in the accident.,no_translation
10161781,We will need to replace the front bumper.,no_translation
10161792,Tom eats turnips raw.,no_translation
10161793,Tom grows turnips.,no_translation
10161794,Follow the link to take a short quiz.,no_translation
10161795,Tom took an online quiz to find out what his spirit animal was.,no_translation
10161796,The quiz should only take about five minutes.,no_translation
10161802,The curriculum needs to be updated.,no_translation
10161806,Try to get more exposure to your target language.,no_translation
10161815,The train is delayed.,no_translation
10161816,How many sandwiches did you bring?,no_translation
10161823,One night of sleep loss is enough to disrupt your day-to-day mental and physical well-being.,no_translation
10161824,The picture is fuzzy.,no_translation
10161828,Tom was at a family reunion.,no_translation
10161829,Tom will be hosting this year's family reunion.,no_translation
10161880,Why do you have to be so snobbish?!,no_translation
10161884,I absolutely hate those haughty aristocrats.,no_translation
10161889,You look at people with haughty curiosity.,no_translation
10162003,Tom didn't believe that it happened.,no_translation
10162005,Tom fell and broke one of his arms.,no_translation
10162050,I really do need a vacation.,no_translation
10162053,Tom trained in Australia.,no_translation
10162054,It is impossible to foresee everything.,no_translation
10162090,Tom's arrival caused a real commotion in our house.,no_translation
10162095,Even a dark night doesn't last forever.,no_translation
10162103,Today you left a stain on yourself that will last forever.,no_translation
10162114,"They are engaged, bound to each other for eternity.",no_translation
10162166,We came to the pier.,no_translation
10162167,Have you ever seen the pier?,no_translation
10162171,How many pull-ups do you do?,no_translation
10162173,I do push-ups and pull-ups on the horizontal bar.,no_translation
10162174,We sped up our pace.,no_translation
10162175,We accelerated our pace.,no_translation
10162176,We picked up our pace.,no_translation
10162209,I was outraged by Tom's arrogant tone.,no_translation
10162223,Where did you get so much bile?,no_translation
10162224,Where does all your bile come from?,no_translation
10162226,Don't forget to fill in the heading.,no_translation
10162227,Don't forget to fill in the title.,no_translation
10162228,A headline grabbed my attention this morning.,no_translation
10162236,"When I grow up, I want to be a pastry chef.",no_translation
10162241,Tom went to Boston for the weekend.,no_translation
10162243,Tom ate it all.,no_translation
10162278,Tom didn't see what Mary was doing.,no_translation
10162282,This coupon can only be redeemed in-store.,no_translation
10162287,The little flower is gray.,no_translation
10162346,"In case my last text wasn't clear enough, I'm breaking up with you.",no_translation
10162358,The jury was sequestered.,no_translation
10162366,He needs to be on time.,no_translation
10162430,There's a rivalry between our schools.,no_translation
10162432,Tom was smartly dressed.,no_translation
10162517,Can you say it in Spanish?,no_translation
10162519,It shouldn't take more than thirty minutes to do that.,no_translation
10162524,Tom was timid when he was a kid.,no_translation
10162525,Remind me to never hang out with you.,no_translation
10162528,The panting breathless climbers were on the edge of the plateau.,no_translation
10162691,Tom was tiptoeing.,no_translation
10162699,I don't have to give up my identity.,no_translation
10162716,When will they pay me?,no_translation
10162779,We’re just passing by.,no_translation
10162782,Tom didn't explain the situation to Mary.,no_translation
10162786,Let's sit over there in the shade.,no_translation
10162802,Tom wants Mary to be his friend.,no_translation
10162899,"""Dad, I'm hungry."" ""Hi, Hungry! I'm Dad.""",no_translation
10162900,The marriage counselor suggested that the couple try talking dirty to each other to see if it will help improve their love life.,no_translation
10162901,"I just booked a flight to Austria, and I can't wait to see a kangaroo!",no_translation
10162913,Many thanks for the speedy response!,no_translation
10162914,Many thanks for the swift response!,no_translation
10162915,You're all lame.,no_translation
10162920,When are you driving to Tom's house?,no_translation
10162921,When are you driving to Tom's place?,no_translation
10162923,When are you going to Tom's place?,no_translation
10162926,No one will probably ever notice.,no_translation
10162934,Tom's clarinet-playing has improved since I last heard him play.,no_translation
10162935,"For the reason given above, I reached a different decision.",no_translation
10162936,Mum stayed in the car while Dad did the shopping.,no_translation
10162949,Is the rook that important in the game of chess?,no_translation
10162950,There seems to be no sign of intelligent life anywhere.,no_translation
10162954,Gross! Get away from me!,no_translation
10162963,I don't exist.,no_translation
10162966,Is thinking nothing more than not knowing what to think?,no_translation
10162968,When shall I be free?,no_translation
10162983,The weather looks as if it'll hold.,no_translation
10162996,Tom was holding on tight.,no_translation
10162997,Tom said he had proof.,no_translation
10162998,I wish that I could go to the concert with you.,no_translation
10162999,Why have you stopped taking your medicine?,no_translation
10163000,It isn't really safe for you to drink out of my glass.,no_translation
10163008,The judge held both of us in contempt.,no_translation
10163009,Tom was holding a suitcase in one hand and an umbrella in the other.,no_translation
10163013,I just couldn't hold on any longer.,no_translation
10163038,Go annoy someone else.,no_translation
10163039,Tom held the gun.,no_translation
10163069,Put everything that you want thrown away in this box.,no_translation
10163070,Put everything you want thrown away in this box.,no_translation
10163075,Tom holds me responsible for it.,no_translation
10163078,My phone is in my bag.,no_translation
10163107,My parents taught me to keep my promises.,no_translation
10163108,I'm not deaf. You don't need to shout.,no_translation
10163110,Is it true Tom knows French?,no_translation
10163113,I read more than thirty books last year.,no_translation
10163120,Everyone stopped to see what had happened.,no_translation
10163122,"I met a man yesterday that I didn't know, but he knew a lot about me.",no_translation
10163124,Tom left without saying anything to anyone.,no_translation
10163125,Tom left without saying anything to anybody.,no_translation
10163129,I can't buy anything until I get my next paycheck.,no_translation
10163131,What'll we do tomorrow if we finish this today?,no_translation
10163133,"I was blindfolded, so I couldn't see anything.",no_translation
10163145,What's the weather like here in the winter?,no_translation
10163146,How's the weather here in the summer?,no_translation
10163147,What's the weather like here in the summer?,no_translation
10163149,Tom held it for us.,no_translation
10163161,"Tom stood there, holding a glass of champagne.",no_translation
10163167,These dried Indian mangoes are better than fresh American mangoes.,no_translation
10163169,Alphonso is the king of mangoes.,no_translation
10163175,Quotidian life bores me.,no_translation
10163176,Everyday life bores me.,no_translation
10163178,That's something that I've been doing lately.,no_translation
10163180,That's something I've been doing lately.,no_translation
10163181,Youth is a defect that corrects itself daily.,no_translation
10163186,It isn't banal!,no_translation
10163187,It's not banal!,no_translation
10163188,That's not banal!,no_translation
10163189,That's a truism.,no_translation
10163192,The movie's ending was too banal.,no_translation
10163194,The film's ending was too quotidian.,no_translation
10163198,Here was a man utterly convinced of his own moral rectitude.,no_translation
10163219,There's no reason to hold back now.,no_translation
10163344,Yanni sports a manly moustache.,no_translation
10163345,Yanni is tall and sports a manly moustache.,no_translation
10163346,Yanni is tall and intimidating.,no_translation
10163348,Yanni is intimidatingly tall.,no_translation
10163349,Yanni is intimidatingly tall and sports a manly moustache.,no_translation
10163351,Tom held the camera as steady as he could.,no_translation
10163442,Berbers are a brave people.,no_translation
10163443,Berbers are brave.,no_translation
10163444,Tom caught hold of Mary's hand.,no_translation
10163446,What are the origins of Berbers?,no_translation
10163491,We had no trouble holding on.,no_translation
10163495,Tom was holding a baseball bat in one hand and his baseball cap in the other.,no_translation
10163655,Nobody says no!,no_translation
10163660,"The ""Soviet Union"" was a misnomer, as it actually disempowered the soviets and subjugated them to the Communist Party leadership.",no_translation
10163667,There's a light at the end of the tunnel.,no_translation
10163703,The weather looks like it'll hold.,no_translation
10163969,Don't call him that!,no_translation
10164012,This image is doctored.,no_translation
10164067,Stop calling her that!,no_translation
10164079,I'm not that smart.,no_translation
10164125,Tom held on to the rope for dear life.,no_translation
10164180,I just want to be alone for a while.,no_translation
10164181,Their house is for sale.,no_translation
10164184,Your house is for sale.,no_translation
10164193,You have such a great smile.,no_translation
10164211,Tom and Mary went rafting.,no_translation
10164212,Tom and Mary went whitewater rafting.,no_translation
10164213,Tom went whitewater rafting.,no_translation
10164225,The bellboy held out his hand.,no_translation
10164238,Tom and Mary held each other closely.,no_translation
10164265,"Yeah, I'm crazy.",no_translation
10164431,Tom and Mary are sitting in the bleachers.,no_translation
10164437,You know that you have lost everything.,no_translation
10164441,We don't believe in your god.,no_translation
10164447,Why didn't they quote you?,no_translation
10164458,Let's get you dressed.,no_translation
10164509,I admit that I lost.,no_translation
10164510,I admit I lost.,no_translation
10164540,My children love me.,no_translation
10164542,I would like to know Tom better.,no_translation
10164599,Tom smiled a little.,no_translation
10164600,Mary smiled back.,no_translation
10164603,The telephone rang every few minutes.,no_translation
10164608,She leaned in to kiss his cheek.,no_translation
10164672,Tom usually gets back to me right away.,no_translation
10164683,Tom laughed awkwardly.,no_translation
10164684,Someone was tugging on my sleeve.,no_translation
10164697,Tell me a bit about yourself.,no_translation
10164750,I won't hold that against you.,no_translation
10164751,We were rich at the time.,no_translation
10164818,I'm here as a translator.,no_translation
10164820,I'm here as an interpreter.,no_translation
10164821,People are staring.,no_translation
10164822,I translated all these phrases.,no_translation
10164828,I just met your mom.,no_translation
10164829,They successfully solved the problems.,no_translation
10164830,They solved the problems successfully.,no_translation
10164831,Look what I found while cleaning.,no_translation
10164832,Do you know what street they live on?,no_translation
10164833,I'm an observer.,no_translation
10164837,Let's meet on the outskirts of town.,no_translation
10164856,I'm hauling produce.,no_translation
10164858,The video cameras are mainly there to deter thieves.,no_translation
10164859,They put up a sign to deter trespassers.,no_translation
10164869,Tom was responsible for more than one significant scientific breakthrough.,no_translation
10164870,It's a scientific breakthrough.,no_translation
10164871,Tom was holding an umbrella.,no_translation
10164873,"Based on his test results, Tom was put in the intermediate English group.",no_translation
10164882,We're running out of provisions.,no_translation
10164883,Tom looked through the scope on his rifle.,no_translation
10164890,I like to highlight important quotes while reading.,no_translation
10164891,I only watched the highlights.,no_translation
10164893,I only watched the highlight reel.,no_translation
10164895,Do you have a highlighter I can borrow?,no_translation
10164896,Do you like ginger?,no_translation
10164933,Check the itinerary.,no_translation
10164948,You're a liability.,no_translation
10164952,Military recruiters came to our school.,no_translation
10164957,"Where I come from, that's just common courtesy.",no_translation
10164959,I wasn't able to hold onto the rope any longer.,no_translation
10164963,Tom held the rope.,no_translation
10164967,Tom gets his drinking water from a well on his property.,no_translation
10164998,"John challenged Tom to a fight after school by the basketball court, but Tom never showed up.",no_translation
10165104,One of the female police officers was holding the baby.,no_translation
10165117,Do you like ale?,no_translation
10165136,Tom was holding a short piece of pipe in his left hand and a knife in his right.,no_translation
10165243,These are hard to get a hold of.,no_translation
10165245,The police held Tom in custody overnight.,no_translation
10165256,Don't hold your breath on that.,no_translation
10165293,"Apparently, the plan is now on hold.",no_translation
10165294,Tom was holding a package in his hands.,no_translation
10165302,"My car's out of gas, so I can't drive anywhere.",no_translation
10165303,I think I'll order some takeout.,no_translation
10165308,"If you want me to, I'll hold your hand.",no_translation
10165309,Tom was holding a pistol.,no_translation
10165318,Somebody was trying to break in.,no_translation
10165319,Tom ordered a cup of coffee for himself and a cup of cocoa for Mary.,no_translation
10165320,The Suez Canal links the Mediterranean Sea and the Red Sea.,no_translation
10165321,Several children are being held hostage.,no_translation
10165322,It's not like Tom to hold a grudge.,no_translation
10165323,I think that my idea is better.,no_translation
10165324,Pick up the chair.,no_translation
10165327,Aren't we supposed to hold hands?,no_translation
10165334,He was screaming.,no_translation
10165344,Mary gave birth to a boy.,no_translation
10165348,Jugurtha was captured by the Romans.,no_translation
10165349,"Jugurtha was betrayed by his father-in-law, Bocchus, who captured him and delivered him to the Romans.",no_translation
10165353,Rome knew that Jugurtha could not be underestimated.,no_translation
10165354,Jugurtha carefully studied the Romans' movements.,no_translation
10165355,Jugurtha's battles against the Romans were extremely aggressive.,no_translation
10165356,Jugurtha was murdered cowardly in Rome.,no_translation
10165357,Peace never lasted long in Jugurtha's life.,no_translation
10165358,Tom is an aspiring rapper.,no_translation
10165359,Kim Il-sung is North Korea's perpetual dictator.,no_translation
10165367,It was pure incompetence on my part.,no_translation
10165368,Numidia was ripped into three provinces by the Romans.,no_translation
10165369,The Romans ripped Numidia into three provinces.,no_translation
10165405,"Jugurtha retreated south, to the territory of the Gaetuli.",no_translation
10165406,Jugurtha was still fighting.,no_translation
10165407,Jugurtha caused the Romans enormous losses.,no_translation
